no,date,time,place,situation,species,count,length,lat,lng
001,2023/5/20,12:59,HOME敷地内,ゴミ捨て行く時,,1,不明,33.972804,134.362465
002,2024/5/24,16:13,不明,不明,,1,1m,,
003,2024/6/24,15:00,CLASSの入り口前,CLASSを出入りする時,,1,不明,33.9737855,134.3599412
004,2024/5/28,8:55,HOMEからOFFICEの通り道,HOMEからOFFICEの通り道,,1,不明,,
005,2024/6/23,15:13,office教室棟の入口前,office教室棟を出入りする時,,1,不明,33.9737855,134.3599412
006,2025/06/14,10:03,HOME体育館前,ローソンさんが来た時,,1,不明,33.972804,134.362465
007,2024/10/11,12:30,office教室棟の入口前,office教室棟を出入りする時,,1,不明,33.9737855,134.3599412
008,2025/7/10,8:00,田んぼの溝,歩いていた時,,1,不明,,
009,2026/05/24,15:58,給食センター前の坂,おそらく歩いていた時,マムシかも,1,不明,33.972804,134.3599412
010,2025/10/29,15:00,Officeの段差,おそらく歩いていた時,ヤマカガシ,1,不明,33.97384345,134.3601742
011,2026/06/01,19:56,食堂裏の室外機,食堂の人が発見,シマヘビ,1,大きめ？,33.9728469,134.3625561
012,2024/10/05,13:09,officeの靴箱の脇,不明,黒いヘビ,1,不明,33.975161,134.354396
013,2026/06/22,7:40,車道の横,自転車に乗っていたとき,,1,中くらい,33.9664167,134.3561667
